Variable,Importance
FS_L_Lingual_GrayVol.y_diff,0.04629651467749039
FS_R_Middletemporal_Area.y_diff,0.036039708580657893
FS_R_Inferiortemporal_Area.y_diff,0.03370774655071489
FS_L_Parahippocampal_GrayVol.y_diff,0.03329531830276377
FS_R_Inferiorparietal_Area.y_diff,0.0311450017860188
FS_R_Superiortemporal_Area.y_diff,0.02881353825711449
FS_L_Caudalmiddlefrontal_Area.y_diff,0.028354630598845725
FS_R_Caudate_Vol.y_diff,0.027003408664220938
FS_R_Transversetemporal_Area.y_diff,0.025764018851214546
FS_R_Caudalmiddlefrontal_Area.y_diff,0.022664517613191413
FS_L_Isthmuscingulate_GrayVol.y_diff,0.021266276440699304
FS_L_Postcentral_Area.y_diff,0.019635995949229636
FS_R_Frontalpole_Area.y_diff,0.016666997375613515
FS_L_Posteriorcingulate_Area.y_diff,0.016321731165271986
FS_R_Cerebellum_Cort_Vol.y_diff,0.016277241884748717
FS_L_Caudalmiddlefrontal_GrayVol.y_diff,0.015168239796790675
FS_CSF_Vol.y_diff,0.014489178065811462
FS_R_Rostralmiddlefrontal_Area.y_diff,0.013157929750524619
FS_L_Middletemporal_Area.y_diff,0.013132730910454658
FS_L_Superiorfrontal_Area.y_diff,0.012947843849051635
FS_L_Supramarginal_Area.y_diff,0.012863416370026746
FS_L_Parsorbitalis_Area.y_diff,0.012525161460563643
FS_R_Hippo_Vol.y_diff,0.012312900751450345
FS_L_Rostralmiddlefrontal_GrayVol.y_diff,0.012266168216252949
FS_L_Superiorparietal_GrayVol.y_diff,0.012258768187880619
FS_L_Superiorfrontal_GrayVol.y_diff,0.012183742490103646
FS_SubCort_GM_Vol.y_diff,0.012179728652724727
FS_L_Posteriorcingulate_GrayVol.y_diff,0.012069516013755352
FS_R_Middletemporal_GrayVol.y_diff,0.011772324158764598
FS_R_Entorhinal_Area.y_diff,0.011642886943468784
FS_L_Cuneus_GrayVol.y_diff,0.011103774859015883
FS_L_Transversetemporal_GrayVol.y_diff,0.010848724422143359
FS_R_Bankssts_GrayVol.y_diff,0.010492424033370213
FS_L_Postcentral_GrayVol.y_diff,0.009782495918776193
FS_R_Posteriorcingulate_GrayVol.y_diff,0.009469468907086083
FS_R_Parsopercularis_GrayVol.y_diff,0.009231927996334334
FS_L_Rostralmiddlefrontal_Area.y_diff,0.008962749704247309
FS_R_Isthmuscingulate_Area.y_diff,0.008871764870238039
FS_L_Insula_Area.y_diff,0.008500729643120375
FS_R_Superiorparietal_Area.y_diff,0.0081462999246958
FS_CC_MidAnterior_Vol.y_diff,0.008139508170906955
FS_L_Middletemporal_GrayVol.y_diff,0.00799032527781032
FS_R_Amygdala_Vol.y_diff,0.007543617334728152
FS_R_Cuneus_Area.y_diff,0.0072156649953069776
FS_L_Pericalcarine_Area.y_diff,0.006853704811709794
FS_R_Insula_Area.y_diff,0.006709100766884376
FS_L_Inferiorparietal_GrayVol.y_diff,0.006697451856601933
FS_CC_Central_Vol.y_diff,0.0066089943970297745
FS_InterCranial_Vol.y_diff,0.006591042548096169
FS_L_Caudalanteriorcingulate_GrayVol.y_diff,0.006467217989572806
FS_L_Inferiorparietal_Area.y_diff,0.00641714575570685
FS_R_Bankssts_Area.y_diff,0.006349811954786
FS_L_Medialorbitofrontal_GrayVol.y_diff,0.0059018009351545
FS_CC_Posterior_Vol.y_diff,0.005699443091234747
FS_L_Superiortemporal_Area.y_diff,0.005675235441701569
FS_L_Caudalanteriorcingulate_Area.y_diff,0.0056621672240576605
FS_L_Parstriangularis_Area.y_diff,0.0052666311874695546
FS_L_VentDC_Vol.y_diff,0.005187179678657333
FS_R_Posteriorcingulate_Area.y_diff,0.005145150616990829
FS_R_Parsopercularis_Area.y_diff,0.00502806227975718
FS_L_InfLatVent_Vol.y_diff,0.005013780095853239
FS_R_Rostralmiddlefrontal_GrayVol.y_diff,0.00475667883087334
FS_R_Precuneus_GrayVol.y_diff,0.00470532644375711
FS_L_Cerebellum_Cort_Vol.y_diff,0.004542168409818577
FS_L_Cuneus_Area.y_diff,0.004494492467862718
FS_R_Parstriangularis_Area.y_diff,0.004439187910270673
FS_L_Precentral_Area.y_diff,0.004342979792709592
FS_R_Postcentral_Area.y_diff,0.004262262659498612
FS_L_Caudate_Vol.y_diff,0.004261893949533463
FS_L_Lateraloccipital_Area.y_diff,0.004170830982589373
FS_TotCort_GM_Vol.y_diff,0.0041323950673345464
FS_R_AccumbensArea_Vol.y_diff,0.00411730249637936
FS_SupraTentorial_Vol.y_diff,0.0041013462659173685
FS_L_Putamen_Vol.y_diff,0.004069318219907987
FS_R_Cerebellum_WM_Vol.y_diff,0.003972521199565443
FS_CC_Anterior_Vol.y_diff,0.003941472075284898
FS_L_Entorhinal_GrayVol.y_diff,0.003816614676850405
FSrdVent_Vol.y_diff,0.003815552456372876
FS_R_Lingual_Area.y_diff,0.0038042628930179366
FS_R_Isthmuscingulate_GrayVol.y_diff,0.0037821758100794107
FS_L_Parstriangularis_GrayVol.y_diff,0.003774300526830814
FS_R_Paracentral_Area.y_diff,0.003725915576920957
FS_L_Lateralorbitofrontal_Area.y_diff,0.003725782557213741
FS_R_Superiorfrontal_GrayVol.y_diff,0.003627302773002236
FS_R_Caudalmiddlefrontal_GrayVol.y_diff,0.0035568875641064507
FS_L_Temporalpole_GrayVol.y_diff,0.003537697857023653
FS_R_Parsorbitalis_Area.y_diff,0.0035306888161887977
FS_L_Precuneus_GrayVol.y_diff,0.0035011171146757812
FS_BrainStem_Vol.y_diff,0.0034902750399475454
FS_L_Isthmuscingulate_Area.y_diff,0.0034540103808359964
FS_L_Entorhinal_Area.y_diff,0.0034193881276725294
FS_L_Bankssts_Area.y_diff,0.003398777821774799
FS_L_Superiortemporal_GrayVol.y_diff,0.0033780838942650084
FS_L_Fusiform_Area.y_diff,0.003370561823539942
FS_R_Postcentral_GrayVol.y_diff,0.00327926639497159
FS_CC_MidPosterior_Vol.y_diff,0.0032515685924408163
FS_R_Inferiortemporal_GrayVol.y_diff,0.003224624998735425
FS_R_Supramarginal_GrayVol.y_diff,0.0030840263968413824
FS_L_Pericalcarine_GrayVol.y_diff,0.0030776672799643586
FS_L_Parsopercularis_GrayVol.y_diff,0.0030531025435472444
FS_R_Precuneus_Area.y_diff,0.0030037312460511104
FS_L_Paracentral_Area.y_diff,0.0029881353311067243
FS_L_LatVent_Vol.y_diff,0.002984587062703064
FS_R_Pericalcarine_Area.y_diff,0.002763116353181867
FS_R_Supramarginal_Area.y_diff,0.002592288054232801
FS_R_Inferiorparietal_GrayVol.y_diff,0.0025845031727269726
FS_R_Precentral_Area.y_diff,0.0025658654005701123
FS_L_Lateralorbitofrontal_GrayVol.y_diff,0.00250684274844335
FS_L_Pallidum_Vol.y_diff,0.002372322210865331
FS_R_Caudalanteriorcingulate_Area.y_diff,0.0023670278973727723
FS_R_Lingual_GrayVol.y_diff,0.0017472848842278895
FS_L_Rostralanteriorcingulate_GrayVol.y_diff,0.00173788794593048
